study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular,final_score
3.5,74.0,50.3,4,6.2,Yes,71.6
7.8,79.6,87.2,3,5.8,No,91.3
7.7,91.2,85.0,3,6.0,No,100.0
2.8,67.4,69.7,10,8.6,Yes,73.8
4.5,83.9,79.1,10,6.9,No,98.6
3.1,78.3,57.3,8,6.9,Yes,76.3
3.0,63.4,65.9,3,8.0,No,71.7
1.3,93.9,85.2,5,5.6,No,74.8
5.3,89.9,65.3,6,6.9,No,91.6
4.5,82.9,59.7,5,6.7,Yes,78.2
1.4,92.5,67.2,6,7.4,No,66.9
3.0,93.4,85.6,4,9.0,Yes,94.9
7.4,85.4,58.4,7,8.1,No,93.5
2.7,91.9,49.6,6,6.6,No,71.1
2.0,84.9,79.2,3,8.3,No,80.1
4.4,84.0,85.4,5,5.7,No,79.4
7.9,80.9,45.5,4,5.1,Yes,87.4
2.7,87.6,53.2,3,5.8,Yes,64.6
5.7,57.9,47.8,4,6.4,No,68.9
6.3,94.0,59.1,7,7.0,No,90.7
2.7,93.6,64.8,9,7.5,Yes,77.1
6.1,51.5,81.2,5,8.6,Yes,85.2
3.6,91.3,75.8,8,7.0,Yes,96.0
5.4,56.4,74.2,5,7.0,Yes,87.1
5.4,66.8,59.4,10,5.2,No,81.6
4.8,87.2,86.3,7,5.1,No,90.6
1.6,58.0,65.9,5,7.2,Yes,63.8
6.8,90.9,93.9,10,6.8,Yes,100.0
3.2,91.6,74.9,8,8.4,Yes,88.5
2.3,75.4,46.9,6,5.6,Yes,66.0
1.3,50.3,77.2,4,5.1,Yes,67.2
5.1,64.4,57.9,8,6.8,Yes,78.1
5.7,80.8,77.7,3,5.9,No,91.3
1.1,99.1,43.8,7,5.2,No,55.2
4.6,81.6,49.6,6,7.9,No,85.2
2.6,63.0,87.1,3,5.4,Yes,70.4
5.5,81.7,52.5,3,7.4,Yes,78.2
2.2,77.0,86.0,7,6.1,Yes,71.3
5.8,89.0,55.4,6,5.7,No,80.1
3.7,55.3,75.4,9,6.5,Yes,76.1
7.6,88.1,78.2,3,8.2,Yes,96.6
2.0,77.1,68.2,3,6.6,No,64.9
3.4,98.1,56.8,6,8.0,Yes,86.8
1.8,67.1,51.7,5,5.5,No,58.9
7.5,81.6,41.8,3,8.1,No,83.2
7.1,96.6,56.7,4,5.9,Yes,84.8
2.8,55.1,75.9,6,7.7,No,67.7
5.6,96.9,91.6,3,7.3,Yes,100.0
6.7,84.4,87.9,7,8.7,No,98.5
4.9,53.4,82.1,8,6.5,Yes,94.7
4.7,65.0,83.4,4,5.3,No,77.0
2.7,85.4,76.6,10,5.1,Yes,84.6
1.7,53.4,54.3,10,8.3,No,72.0
7.3,79.1,89.9,8,7.1,No,100.0
7.3,67.3,76.9,10,8.1,No,99.5
5.4,81.0,70.8,8,5.9,Yes,88.5
3.4,52.3,46.1,3,6.4,Yes,59.6
3.4,93.6,64.6,4,5.1,No,74.9
6.1,98.7,65.3,4,8.8,Yes,98.6
7.3,98.4,87.6,5,7.7,No,100.0
7.2,87.5,70.1,8,8.7,Yes,100.0
6.5,56.5,60.9,4,6.1,No,84.8
5.5,87.9,93.7,5,7.4,Yes,100.0
1.6,51.2,46.1,6,7.7,No,57.4
2.1,51.1,63.2,5,6.3,No,52.7
7.3,66.2,42.3,7,8.4,No,70.5
5.2,74.4,80.7,9,8.8,No,96.3
1.1,88.5,90.5,3,8.5,Yes,78.0
1.7,84.2,55.4,6,8.0,No,65.7
5.6,72.3,87.2,9,6.1,Yes,97.9
1.0,63.7,56.1,9,6.1,Yes,64.9
2.1,99.9,90.1,6,8.9,No,92.9
4.8,71.3,81.5,7,5.0,Yes,87.0
5.8,72.6,84.3,5,7.9,Yes,89.5
5.6,58.2,41.0,3,7.8,Yes,75.5
2.6,89.7,93.0,5,7.5,No,83.0
6.0,84.7,80.0,4,9.0,Yes,98.3
2.7,61.0,56.8,5,6.2,Yes,63.3
3.3,54.1,85.6,10,6.4,No,78.0
6.2,84.0,55.5,6,5.3,No,82.6
5.5,82.7,88.0,3,6.8,Yes,91.2
6.9,63.7,46.2,5,6.0,No,78.6
5.6,97.5,78.7,3,6.4,Yes,90.1
5.0,57.6,69.7,3,8.3,Yes,69.6
1.7,71.6,45.3,4,8.7,Yes,60.4
3.6,97.2,53.3,4,5.7,No,75.9
2.9,71.0,40.7,6,6.5,Yes,63.9
2.7,81.9,65.8,7,8.7,No,76.6
7.8,69.9,56.6,10,5.2,No,96.2
3.8,63.7,72.9,9,5.4,Yes,77.7
7.2,99.2,56.3,3,5.7,No,78.6
5.4,70.5,56.5,7,7.4,No,79.8
6.6,94.7,80.9,9,5.6,No,97.9
4.5,61.5,42.6,9,8.9,No,70.3
5.0,60.7,89.7,10,6.8,No,90.9
4.4,51.6,86.9,6,7.0,Yes,85.9
2.4,82.6,76.7,9,6.0,No,79.5
6.1,68.4,72.6,10,6.9,Yes,96.8
3.0,93.2,89.1,9,7.6,Yes,100.0
1.2,73.7,50.2,3,8.0,Yes,58.6
5.5,98.4,44.3,3,8.0,Yes,83.0
2.2,59.3,53.2,8,7.3,Yes,65.6
7.6,93.4,83.7,7,8.6,Yes,100.0
7.7,88.8,41.9,5,8.3,No,84.7
7.4,88.5,72.1,10,8.0,No,100.0
3.6,92.2,94.7,4,5.2,No,86.2
1.1,88.1,87.1,10,5.0,Yes,94.2
7.5,81.3,68.7,5,5.8,No,87.0
4.0,56.6,43.5,7,7.7,No,65.3
7.8,51.6,85.7,4,6.6,No,89.7
7.7,96.0,72.9,5,6.6,Yes,100.0
7.0,80.8,46.3,8,8.5,No,90.5
3.1,89.8,45.2,4,8.6,Yes,79.0
3.7,74.1,90.0,3,8.6,No,70.1
7.0,55.9,76.8,5,6.3,Yes,76.9
3.2,56.3,85.6,10,7.8,Yes,84.1
2.2,84.3,88.3,4,6.1,Yes,84.4
4.9,71.5,71.4,8,5.8,No,75.3
7.6,60.0,68.5,10,5.7,No,77.9
5.9,74.6,63.7,9,6.4,Yes,93.5
5.0,53.2,57.4,4,6.7,No,70.7
1.7,79.1,63.9,4,8.3,Yes,64.9
5.3,63.4,82.6,8,5.5,Yes,84.3
7.9,89.9,73.1,9,7.9,No,100.0
2.0,65.5,89.1,5,7.1,No,74.3
4.6,72.8,64.4,6,6.2,No,74.3
7.1,50.6,73.4,5,7.0,Yes,90.2
6.2,53.6,74.7,9,6.2,Yes,75.9
5.9,69.6,72.5,7,7.4,No,83.7
5.9,74.0,78.6,10,6.7,Yes,92.0
3.5,80.0,53.1,8,5.7,No,71.9
3.1,64.6,68.2,5,5.5,Yes,68.5
6.7,84.7,45.7,4,7.2,No,84.8
6.7,93.0,61.1,8,8.6,No,87.0
7.1,89.0,66.8,3,6.4,Yes,91.4
7.4,52.0,75.9,9,7.9,No,97.3
4.6,74.0,92.3,10,7.6,No,100.0
4.5,55.2,73.0,5,8.7,Yes,78.5
6.6,62.1,80.9,8,8.3,No,96.3
5.5,99.3,67.8,10,7.3,Yes,90.5
5.9,57.1,74.9,5,7.6,No,71.0
6.6,74.9,43.9,8,8.6,Yes,92.6
7.2,80.9,54.0,4,6.6,No,83.8
3.4,85.1,59.9,3,6.3,No,75.7
3.6,78.0,66.0,3,5.0,No,62.1
1.7,50.5,42.5,7,8.3,No,59.8
5.0,66.3,47.7,8,8.2,Yes,89.9
1.3,75.9,55.2,5,5.4,Yes,64.2
4.3,54.4,93.4,3,7.3,Yes,83.3
4.8,67.5,58.2,9,6.9,Yes,83.3
3.0,51.7,66.5,3,5.5,Yes,56.1
5.1,53.9,50.8,6,8.9,Yes,83.8
1.2,69.8,73.6,6,5.9,Yes,65.8
1.3,56.6,55.4,3,5.3,No,53.7
6.8,78.4,51.4,8,7.4,No,80.1
3.5,84.5,68.4,7,8.0,No,75.7
1.9,90.0,40.3,3,5.1,No,63.5
4.7,60.0,40.4,4,7.6,Yes,66.6
6.4,58.4,52.0,10,7.1,Yes,94.3
2.5,55.2,42.0,5,5.4,Yes,56.7
5.4,81.8,45.9,7,5.7,No,68.0
1.6,85.3,58.6,4,7.3,Yes,72.6
1.4,51.6,84.1,7,6.2,No,64.8
4.7,96.8,71.5,4,8.8,Yes,93.7
4.8,52.6,68.2,5,8.3,Yes,79.3
5.5,77.1,56.1,5,8.9,Yes,77.0
6.1,85.5,91.2,6,6.0,Yes,99.5
7.8,93.5,61.8,8,8.9,No,100.0
4.6,85.7,44.8,4,6.7,No,74.0
3.3,90.1,73.9,10,6.4,Yes,88.9
6.6,67.0,46.3,6,5.2,No,81.5
2.9,90.7,59.0,4,5.2,Yes,72.8
4.1,54.0,67.9,6,7.8,Yes,78.4
1.5,94.7,88.1,5,6.8,Yes,75.8
1.2,77.4,67.1,7,5.9,Yes,71.2
7.7,90.9,78.6,9,7.5,No,100.0
6.9,72.6,94.6,6,6.0,Yes,95.7
5.9,82.2,47.2,4,7.3,Yes,87.7
3.9,76.3,55.1,4,6.4,No,69.1
2.2,86.6,61.7,9,8.3,Yes,76.6
2.1,54.1,63.2,8,8.3,No,73.5
2.8,53.0,62.6,10,6.9,Yes,73.3
4.8,62.4,89.9,5,6.4,Yes,90.2
6.0,58.0,79.3,4,6.5,Yes,83.5
5.6,93.6,73.4,3,8.2,Yes,91.0
3.0,61.0,57.0,7,6.3,Yes,72.6
7.7,98.8,85.3,6,5.8,Yes,100.0
6.2,66.8,92.5,8,5.3,No,83.8
4.9,59.1,85.2,10,6.9,Yes,86.9
5.3,89.5,40.1,9,6.9,No,86.1
3.9,82.9,75.0,7,8.4,No,85.0
2.7,74.9,42.8,5,5.9,Yes,61.2
3.5,77.8,54.2,8,6.5,No,67.4
6.3,86.0,43.3,10,8.2,Yes,86.8
1.1,61.4,73.2,6,8.3,No,56.7
1.8,99.8,77.8,6,6.5,Yes,80.6
1.3,98.7,46.3,9,6.8,No,66.8
1.3,82.5,61.1,3,6.2,No,56.2
7.0,60.0,65.1,9,8.7,Yes,95.0
5.9,84.0,60.3,5,5.5,No,83.3
4.3,53.6,46.7,8,8.7,Yes,85.5
1.7,51.5,63.0,8,7.7,Yes,60.7
4.4,62.9,81.3,4,7.1,Yes,87.2
4.3,73.1,43.9,3,5.1,Yes,70.9
2.2,93.4,44.4,3,6.9,Yes,61.6
4.0,86.4,59.5,8,6.6,No,81.3
3.8,87.1,91.8,8,5.6,No,87.2
5.3,71.3,76.8,7,7.6,No,88.7
5.4,67.3,77.3,10,8.9,Yes,100.0
1.3,68.6,59.9,7,7.2,No,67.6
3.6,99.4,72.7,7,7.9,No,89.6
5.4,52.0,40.6,3,5.3,No,59.1
4.5,93.4,75.0,4,6.7,No,76.2
7.0,78.9,90.2,6,5.5,No,95.5
5.6,71.9,73.7,7,7.5,Yes,97.0
2.1,86.3,88.1,4,8.8,Yes,75.4
1.5,74.3,79.8,9,7.6,No,72.1
5.5,93.7,46.6,5,5.3,Yes,80.8
1.2,95.0,89.6,7,6.4,Yes,78.1
5.1,71.1,43.7,9,7.2,No,73.8
7.6,63.8,69.4,6,6.6,No,87.4
5.0,79.6,47.8,5,8.3,Yes,72.8
3.7,95.6,40.6,5,8.3,No,68.0
5.5,60.5,63.2,6,7.4,Yes,85.9
4.2,81.1,56.2,7,6.5,Yes,73.5
4.8,81.6,66.7,3,6.0,No,68.5
7.6,86.7,71.7,6,5.4,Yes,94.1
3.7,56.6,42.4,6,6.4,Yes,69.0
7.7,85.8,46.8,6,6.7,Yes,89.7
7.3,95.5,70.7,5,7.7,No,94.5
2.4,59.0,58.9,10,7.6,No,71.6
1.5,61.9,80.1,4,5.3,No,54.7
1.7,98.6,75.9,9,6.6,No,83.9
1.1,59.0,86.5,3,5.7,Yes,67.4
1.7,92.7,78.1,7,5.6,No,74.2
5.8,74.6,63.6,7,8.3,No,92.1
1.5,62.4,77.0,9,5.2,No,64.2
3.2,93.5,55.1,4,6.7,No,77.1
6.9,72.3,56.8,6,5.7,Yes,86.9
1.2,75.7,83.4,10,8.5,Yes,82.0
6.7,68.0,64.6,3,7.2,Yes,84.6
3.0,79.6,83.9,7,5.9,No,80.1
1.8,58.2,85.2,9,7.0,No,81.7
5.9,69.6,87.2,8,7.9,Yes,93.0
5.4,98.5,90.4,10,8.8,No,100.0
7.1,62.9,63.7,9,5.9,No,94.0
6.1,82.8,57.5,10,8.5,Yes,93.0
6.6,66.3,72.0,7,8.7,Yes,99.2
3.0,88.7,60.4,6,8.7,No,85.9
2.2,56.5,73.1,8,7.5,No,69.8
6.3,98.5,78.8,4,7.5,No,98.1
6.6,72.7,77.9,3,6.6,Yes,83.5
7.9,61.8,60.6,4,8.0,Yes,93.0
3.9,53.7,49.2,4,7.1,Yes,66.9
3.6,58.5,63.7,9,7.7,Yes,81.7
6.4,76.0,47.8,10,6.7,No,83.2
3.4,66.9,89.0,3,7.9,Yes,72.5
7.5,91.4,59.0,3,8.3,Yes,96.0
7.0,71.5,48.5,7,5.6,No,71.4
4.0,62.4,41.4,7,8.3,No,67.5
6.3,80.9,75.5,3,7.2,No,91.9
6.3,85.3,75.0,8,8.4,Yes,100.0
1.7,58.4,58.7,5,6.7,No,69.2
7.3,58.4,43.9,7,6.5,No,84.5
4.5,51.8,62.5,5,8.7,Yes,73.1
6.8,86.8,57.1,9,6.0,Yes,94.5
3.2,83.2,77.2,8,8.4,No,85.0
7.3,73.7,73.3,3,6.9,Yes,83.2
3.7,92.2,60.1,8,7.1,No,76.8
1.1,90.3,52.0,7,6.2,No,62.2
7.3,79.3,94.3,4,7.3,Yes,91.8
1.6,93.4,65.0,9,6.3,No,75.7
3.2,60.3,77.9,3,5.2,Yes,69.2
7.7,55.6,47.7,6,6.1,Yes,74.2
7.7,63.5,66.7,9,5.0,Yes,96.0
5.0,52.9,41.5,10,8.9,No,79.7
5.4,76.6,67.8,5,8.9,Yes,89.5
4.1,96.8,93.0,8,6.6,Yes,96.4
3.1,52.0,61.1,3,7.9,No,66.1
3.3,56.1,42.1,9,6.4,No,68.5
5.7,72.6,41.7,8,7.7,No,80.6
6.3,96.7,61.3,3,8.2,No,83.5
6.5,65.8,48.8,7,8.8,Yes,87.6
6.5,75.4,41.3,9,6.6,Yes,91.7
1.6,52.1,81.6,7,8.1,Yes,70.7
4.5,57.4,65.2,9,6.1,No,88.3
1.4,99.3,55.9,7,9.0,No,71.4
4.8,98.3,89.5,10,5.1,Yes,100.0
4.1,50.2,46.4,8,7.4,No,64.9
7.2,97.6,92.6,6,7.6,No,100.0
3.5,82.0,57.3,9,7.8,Yes,74.0
1.8,93.4,88.9,10,5.5,Yes,85.2
2.0,72.7,73.2,9,8.8,No,73.0
6.3,75.8,85.5,7,5.7,No,93.8
5.3,74.4,94.1,3,7.5,No,93.5
1.7,83.3,55.9,9,5.9,Yes,75.8
1.6,57.0,92.9,10,6.2,Yes,68.6
5.9,51.5,61.4,7,7.2,Yes,92.5
1.5,65.4,61.2,4,6.7,Yes,64.3
6.8,85.2,58.7,7,5.6,Yes,87.1
5.9,60.1,69.8,8,5.7,No,84.4
1.6,83.7,48.5,6,6.7,No,64.2
1.6,98.5,70.5,4,8.0,No,70.4
7.9,54.7,69.8,8,8.6,Yes,98.6
3.6,83.6,81.9,8,5.3,Yes,83.9
3.6,72.2,85.9,8,6.6,Yes,85.4
6.7,93.4,64.2,3,5.4,No,81.8
7.6,58.9,56.6,8,5.1,Yes,80.4
7.9,84.6,54.3,3,7.6,Yes,91.4
6.3,91.9,50.7,8,7.4,No,91.9
3.6,97.2,43.2,5,5.7,Yes,75.4
1.6,84.2,58.8,10,5.9,No,76.0
6.4,74.9,54.9,4,5.1,Yes,81.8
4.9,80.9,93.2,5,8.3,Yes,92.7
4.0,93.4,70.7,8,8.9,No,93.6
7.3,78.5,59.1,4,5.5,No,77.0
1.8,51.5,71.9,4,5.9,No,55.6
4.4,96.5,47.7,9,8.5,No,79.8
1.1,84.5,64.4,6,8.7,No,75.5
4.3,83.8,74.4,5,6.7,No,86.5
1.4,60.8,66.9,6,5.2,Yes,66.5
1.8,82.9,62.1,4,5.2,Yes,71.8
1.8,69.7,94.7,3,7.3,No,68.8
5.5,82.6,88.4,4,6.6,Yes,94.2
6.2,55.3,74.3,6,5.1,No,80.7
5.1,82.9,71.3,5,7.3,Yes,91.8
7.7,100.0,74.1,8,5.0,No,100.0
3.6,52.4,51.1,9,8.1,Yes,72.1
3.0,98.9,61.7,9,6.2,Yes,86.8
7.1,70.3,42.2,9,5.2,Yes,89.4
2.6,93.5,66.2,8,7.4,Yes,79.7
7.7,89.1,69.9,9,6.6,Yes,100.0
1.1,78.4,52.5,5,8.9,No,57.9
7.8,86.9,93.0,8,7.2,No,95.8
1.3,93.9,90.0,9,6.1,No,83.8
7.2,70.2,79.7,8,7.8,Yes,100.0
4.7,66.4,69.3,6,6.1,No,79.1
8.0,83.4,87.8,10,8.6,Yes,100.0
1.5,90.4,47.2,10,6.5,Yes,71.1
4.9,88.1,83.5,5,7.2,Yes,81.1
7.8,89.9,46.9,7,5.2,No,95.2
4.7,71.8,83.7,3,6.7,Yes,78.2
5.4,90.9,55.2,9,8.3,No,95.9
5.9,56.0,88.2,3,8.2,No,90.0
4.2,77.2,91.9,8,5.9,Yes,87.6
5.4,50.3,48.2,3,5.9,Yes,61.7
5.1,66.2,65.4,5,8.3,No,81.5
7.3,68.3,94.0,5,8.7,No,95.5
1.3,69.8,66.6,4,5.4,No,60.6
3.0,84.8,87.5,10,6.8,No,86.6
7.7,69.4,72.4,9,6.3,No,87.5
7.2,72.4,60.6,4,8.5,No,75.7
4.2,61.9,55.7,3,5.3,Yes,68.4
5.3,68.7,51.2,7,5.8,No,72.7
2.9,61.4,81.9,4,8.0,No,70.8
2.3,53.7,61.3,4,5.2,No,61.4
4.2,80.2,68.1,5,7.0,No,84.6
3.5,83.4,67.1,7,6.8,Yes,80.7
5.1,81.0,71.8,8,6.3,Yes,88.5
1.5,73.2,87.6,3,6.6,No,71.9
7.8,69.0,93.9,4,7.1,No,91.2
7.9,93.2,62.4,7,5.6,No,96.8
5.9,76.0,85.5,10,7.3,Yes,100.0
4.8,74.0,82.0,9,8.2,Yes,98.6
3.2,51.3,71.5,7,8.0,Yes,66.5
6.7,67.1,92.6,10,5.6,Yes,98.6
5.8,69.0,51.0,3,5.6,Yes,69.8
2.1,69.9,46.0,7,6.1,Yes,65.1
7.4,79.0,87.0,10,6.4,No,100.0
6.8,76.7,64.2,7,6.6,Yes,99.7
7.6,80.4,86.6,7,7.7,Yes,100.0
6.1,88.2,89.1,9,5.2,No,96.4
5.3,90.6,43.4,10,5.1,Yes,90.4
3.9,85.9,88.6,10,6.6,No,94.5
7.5,97.8,64.7,4,7.8,Yes,100.0
7.1,50.9,68.1,3,5.8,No,79.6
1.3,59.8,74.5,9,7.6,No,65.3
1.2,50.4,91.0,7,6.0,No,62.1
3.6,82.4,41.1,7,8.5,No,64.9
6.7,94.9,66.2,4,8.6,No,95.9
7.9,62.2,77.8,3,6.2,Yes,97.1
2.1,96.4,79.7,5,5.9,Yes,89.0
5.2,53.0,78.1,9,6.6,No,89.0
3.7,96.7,47.4,4,6.0,No,76.4
7.8,67.6,56.5,3,7.7,No,81.0
6.9,55.1,59.7,9,8.3,Yes,85.4
6.9,74.3,84.2,7,7.7,No,100.0
4.3,62.8,55.3,3,8.3,No,71.3
3.9,64.2,51.6,3,6.6,No,64.6
2.9,65.4,92.7,8,5.6,No,82.7
1.4,90.2,40.5,3,8.0,Yes,63.4
7.1,77.0,94.9,5,6.4,No,100.0
6.7,65.6,77.2,3,7.7,No,92.7
8.0,80.5,85.6,5,6.1,Yes,100.0
8.0,85.8,56.2,7,5.3,No,95.8
4.9,63.6,40.8,5,9.0,No,73.4
6.4,70.7,80.6,9,5.6,Yes,94.1
7.6,56.1,85.9,7,9.0,Yes,100.0
6.9,59.1,80.7,7,8.9,Yes,90.5
2.7,84.1,47.9,5,8.2,No,73.7
4.2,59.1,81.4,10,7.6,No,80.5
1.9,76.3,82.3,4,7.3,Yes,76.9
7.7,85.5,76.2,6,8.5,Yes,99.4
5.2,55.3,82.1,10,6.2,Yes,93.4
2.6,78.4,86.5,3,6.9,No,75.0
5.7,62.8,73.7,8,7.5,No,79.6
5.3,98.1,44.9,6,6.6,Yes,85.4
3.5,74.2,66.8,3,6.7,No,67.6
1.8,90.3,44.3,10,6.3,Yes,77.1
5.7,77.5,62.4,10,7.3,No,90.0
4.6,52.2,62.4,3,8.4,No,72.4
6.4,81.7,43.6,7,5.8,No,75.7
4.6,97.6,59.2,3,8.7,No,78.1
7.0,80.1,46.1,8,7.8,Yes,88.6
4.9,91.0,84.5,10,8.3,No,100.0
4.9,94.2,92.1,3,7.2,No,99.1
7.1,61.4,44.0,5,8.1,Yes,77.8
3.8,60.6,92.5,6,5.1,No,84.8
